date,product_category,customer_segment,purchase_amount,items_purchased,customer_rating
2024-01-01 00:00:00.000000000,Books,Premium,109.72422912613081,8,1
2024-01-01 00:52:33.915391539,Home & Garden,Premium,115.05382524816567,4,2
2024-01-01 01:45:07.830783078,Electronics,Premium,63.66677532438398,2,4
2024-01-01 02:37:41.746174617,Books,Regular,90.69193925155899,1,2
2024-01-01 03:30:15.661566156,Books,Premium,105.93737229688594,7,4
2024-01-01 04:22:49.576957695,Home & Garden,New,71.02494769829372,3,3
2024-01-01 05:15:23.492349234,Electronics,Premium,79.78535936921855,6,2
2024-01-01 06:07:57.407740774,Electronics,New,93.46309877144292,5,3
2024-01-01 07:00:31.323132313,Books,Premium,94.93496025290355,5,5
2024-01-01 07:53:05.238523852,Clothing,Premium,106.49808360673941,2,2
2024-01-01 08:45:39.153915391,Books,New,74.55907711126136,9,3
2024-01-01 09:38:13.069306930,Books,Premium,129.04061364684202,4,5
2024-01-01 10:30:46.984698469,Books,Premium,94.68772328473518,1,4
2024-01-01 11:23:20.900090009,Books,Premium,104.355931048162,2,4
2024-01-01 12:15:54.815481548,Home & Garden,Regular,88.90502674956335,9,4
2024-01-01 13:08:28.730873087,Electronics,New,107.0695225057754,7,4
2024-01-01 14:01:02.646264626,Home & Garden,Premium,150.1366347832189,2,4
2024-01-01 14:53:36.561656165,Home & Garden,New,88.6264347216122,7,1
2024-01-01 15:46:10.477047704,Home & Garden,New,83.6651093674094,4,3
2024-01-01 16:38:44.392439243,Books,New,75.09533335066953,2,5
2024-01-01 17:31:18.307830783,Clothing,Premium,98.21134450950613,4,5
2024-01-01 18:23:52.223222322,Electronics,Premium,97.86388959190855,5,2
2024-01-01 19:16:26.138613861,Clothing,New,101.54329043794546,4,3
2024-01-01 20:09:00.054005400,Home & Garden,Regular,114.04767639208947,3,1
2024-01-01 21:01:33.969396939,Home & Garden,New,110.26504321142218,6,1
2024-01-01 21:54:07.884788478,Clothing,Regular,99.32435555401878,1,3
2024-01-01 22:46:41.800180018,Clothing,New,158.61404704116734,8,4
2024-01-01 23:39:15.715571557,Clothing,New,120.72040852276216,5,4
2024-01-02 00:31:49.630963096,Home & Garden,New,67.32220171478016,8,3
2024-01-02 01:24:23.546354635,Home & Garden,Premium,53.64394042713219,4,5
2024-01-02 02:16:57.461746174,Electronics,Regular,79.13052623396749,4,4
2024-01-02 03:09:31.377137713,Electronics,Regular,104.57975140150383,5,2
2024-01-02 04:02:05.292529252,Home & Garden,New,76.61501032096646,5,1
2024-01-02 04:54:39.207920792,Clothing,Premium,81.17118265580342,6,4
2024-01-02 05:47:13.123312331,Clothing,Premium,100.78201115729453,5,5
2024-01-02 06:39:47.038703870,Electronics,Regular,89.74082023341168,5,4
2024-01-02 07:32:20.954095409,Home & Garden,Premium,38.5689777259463,8,4
2024-01-02 08:24:54.869486948,Electronics,Regular,132.31529585477162,6,1
2024-01-02 09:17:28.784878487,Electronics,Regular,125.34870672720493,2,2
2024-01-02 10:10:02.700270027,Books,Regular,61.446374250609026,4,2
2024-01-02 11:02:36.615661566,Books,Premium,101.70673298973615,4,5
2024-01-02 11:55:10.531053105,Books,Regular,66.50345409139933,5,3
